evaluator_id,anon_video_id,ad_id
R1,P01,AD02
R1,P02,AD07
R1,P03,AD04
R1,P04,AD03
R1,P05,AD10
R1,P06,AD01
R1,P07,AD09
R1,P08,AD08
R1,P09,AD05
R1,P10,AD06
R2,P01,AD09
R2,P02,AD08
R2,P03,AD10
R2,P04,AD02
R2,P05,AD03
R2,P06,AD06
R2,P07,AD07
R2,P08,AD05
R2,P09,AD04
R2,P10,AD01
R3,P01,AD06
R3,P02,AD03
R3,P03,AD05
R3,P04,AD10
R3,P05,AD02
R3,P06,AD07
R3,P07,AD08
R3,P08,AD09
R3,P09,AD04
R3,P10,AD01
R4,P01,AD03
R4,P02,AD09
R4,P03,AD10
R4,P04,AD04
R4,P05,AD01
R4,P06,AD07
R4,P07,AD06
R4,P08,AD05
R4,P09,AD08
R4,P10,AD02
R5,P01,AD07
R5,P02,AD08
R5,P03,AD09
R5,P04,AD01
R5,P05,AD02
R5,P06,AD05
R5,P07,AD10
R5,P08,AD03
R5,P09,AD04
R5,P10,AD06
