evaluator_id,anon_video_id,hook,clarity,naturalness,product_fidelity,visual_quality,audio_quality,lip_sync,brand_fit,cta,publishability,would_publish,comment
R1,P01,,,,,,,,,,,,
R1,P02,,,,,,,,,,,,
R1,P03,,,,,,,,,,,,
R1,P04,,,,,,,,,,,,
R1,P05,,,,,,,,,,,,
R1,P06,,,,,,,,,,,,
R1,P07,,,,,,,,,,,,
R1,P08,,,,,,,,,,,,
R1,P09,,,,,,,,,,,,
R1,P10,,,,,,,,,,,,
R2,P01,,,,,,,,,,,,
R2,P02,,,,,,,,,,,,
R2,P03,,,,,,,,,,,,
R2,P04,,,,,,,,,,,,
R2,P05,,,,,,,,,,,,
R2,P06,,,,,,,,,,,,
R2,P07,,,,,,,,,,,,
R2,P08,,,,,,,,,,,,
R2,P09,,,,,,,,,,,,
R2,P10,,,,,,,,,,,,
R3,P01,,,,,,,,,,,,
R3,P02,,,,,,,,,,,,
R3,P03,,,,,,,,,,,,
R3,P04,,,,,,,,,,,,
R3,P05,,,,,,,,,,,,
R3,P06,,,,,,,,,,,,
R3,P07,,,,,,,,,,,,
R3,P08,,,,,,,,,,,,
R3,P09,,,,,,,,,,,,
R3,P10,,,,,,,,,,,,
R4,P01,,,,,,,,,,,,
R4,P02,,,,,,,,,,,,
R4,P03,,,,,,,,,,,,
R4,P04,,,,,,,,,,,,
R4,P05,,,,,,,,,,,,
R4,P06,,,,,,,,,,,,
R4,P07,,,,,,,,,,,,
R4,P08,,,,,,,,,,,,
R4,P09,,,,,,,,,,,,
R4,P10,,,,,,,,,,,,
R5,P01,,,,,,,,,,,,
R5,P02,,,,,,,,,,,,
R5,P03,,,,,,,,,,,,
R5,P04,,,,,,,,,,,,
R5,P05,,,,,,,,,,,,
R5,P06,,,,,,,,,,,,
R5,P07,,,,,,,,,,,,
R5,P08,,,,,,,,,,,,
R5,P09,,,,,,,,,,,,
R5,P10,,,,,,,,,,,,
